final_equity,net,usd_per_hour,usd_per_hour_first_year,max_dd_usd,max_dd_pct,min_equity,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,max_lots,max_positions,worst_basket,trend_filter,step_pips,max_levels,basket_sl_usd,tp_pips,base_lot,sym,ok
0.0,-1000.0,-0.0223,-0.0237,1007.99,100.0,0.0,2015-06-29 17:00:00,1,2658,46,2611,0.06,3,-123.68,100,25,3,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0267,1007.99,100.0,0.0,2015-11-10 22:00:00,4,2075,21,2050,0.06,3,-163.02,100,25,3,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0397,1018.95,100.0,0.0,2015-05-22 16:00:00,0,3003,51,2952,0.09,5,-174.5,100,25,5,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0475,1018.95,100.0,0.0,2015-03-26 18:00:00,3,2407,23,2381,0.1,5,-248.24,100,25,5,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0475,1018.95,100.0,0.0,2015-03-19 03:00:00,3,1695,11,1681,0.1,5,-272.06,100,25,5,250,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0415,1018.95,100.0,0.0,2015-05-08 07:00:00,3,2999,50,2946,0.1,7,-174.5,100,25,8,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0523,1018.95,100.0,0.0,2014-11-04 16:00:00,4,2064,20,2040,0.13,8,-219.85,100,25,8,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0891,1018.95,100.0,0.0,2014-01-02 19:00:00,4,1222,9,1209,0.16,8,-305.53,100,25,8,250,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0385,1017.75,100.0,0.0,2015-06-05 15:00:00,1,2500,42,2457,0.06,3,-118.58,100,40,3,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0365,1017.75,100.0,0.0,2015-06-05 15:00:00,2,1726,18,1706,0.06,3,-157.8,100,40,3,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0389,1017.75,100.0,0.0,2015-06-29 13:00:00,3,2843,45,2795,0.09,5,-162.02,100,40,5,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.06,1017.75,100.0,0.0,2015-03-26 19:00:00,1,2076,20,2055,0.1,5,-223.68,100,40,5,150,10,0.01,EURUSD,False
